id	184A1	184B5	21MT1	21NT	21PT	600MPE	AU565	BT474	BT483	BT549	CAMA1	EFM192A	EFM192B	EFM192C	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF10A	MCF10F	MCF12A	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	T47D_Kbluc	UACC812	UACC893	ZR751	ZR7530	ZR75B
Group	Normal-like	Normal-like	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Luminal	Luminal	Basal	Claudin-low	Luminal	Luminal	Basal	Basal	Basal	Basal	Luminal	Basal	Claudin-low	Basal	Claudin-low	Basal	Luminal	Normal-like	Normal-like	Normal-like	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Basal	Luminal	Claudin-low	Basal	Luminal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
ENSG00000141756	6.93	5.14	6.4	6.79	6.63	6.57	9.32	0.23	5.17	7.95	4.21	1.06	3.05	2.28	5.65	6.09	1.67	0.9	6.65	5.3	6.14	0.73	4.34	5.8	7.79	6.42	8.49	3.69	7.55	5.75	6.88	5.12	4.33	6.65	4.25	6.87	0.27	6.03	4.64	7.71	7.76	7.64	0.72	6.91	5.6	3.41	5.71	1.9	5.96	7.25	0.49	7.16
ENSG00000139318	5.19	1.89	7.27	7.85	7.55	6.21	2.84	5.52	3.18	2.62	0.83	5.02	0.71	2.51	1.86	1.96	4.6	1.35	1.41	5.75	3.74	5.4	4.74	3.08	1.84	1.51	4.01	3.62	2.16	6.24	7.32	6.39	1.1	6.63	6.4	6.96	4.08	5.58	4.14	1.75	3.62	3.12	9.21	6.25	10.43	2.15	2.74	4.79	7.18	1.58	6.5	0.21
ENSG00000256537	0	0	0	0	0	0	0	2.13	3.5	0	2.05	0	0	0	3.94	2.48	4.95	4.52	0	4.17	5.52	0	3.56	0	5.12	5.02	4.94	3.44	0	5.47	7.59	0	4.85	4.14	3.63	6.37	4.51	5.37	0	0	0	5.15	0	0	0	0	0	0	0	0	4.36	4.69
ENSG00000196562	7.77	8.24	5.28	5.09	5.13	1.73	2.61	4.17	6.7	5.27	1.86	5.6	7.06	4.68	7.02	7.34	4.35	5.18	3	2.47	7	6.75	4.15	4.19	4.71	6.86	0.15	0.73	8.71	5.34	5.58	5.54	7.89	6.79	6.94	0.14	2.77	0.33	3.54	0.08	0.31	4.54	3.28	5.96	0.93	1.88	1.51	6.52	4.01	5.14	1.53	3.85
ENSG00000141744	0	0	4.4	3.9	4.05	0	3.17	5.07	2.84	0	0.43	5.48	3.86	2.73	0	0.18	9.08	0.87	0.54	0.21	0	1.79	5.91	0	0.79	0.32	0.12	2.83	0.51	0	0	0	0.25	4.85	0.41	0	3.46	1.18	0.18	3.33	0	0.71	3.83	0.8	0	0.63	0.19	8.86	7.18	1.19	0.76	0
ENSG00000129226	4.29	5.09	7.87	7.63	7.88	0	5.5	0.51	3.61	3.32	0.19	5.51	6.08	6.27	2.33	0.76	3.99	1.97	3.41	6.15	5.31	2.64	5.76	3.12	3.53	5.35	7.18	1.15	2.53	4.73	7.91	5.45	1.64	1.32	0.73	6.17	2.63	1.69	3.79	5.39	8.72	7	2.28	5.89	0.87	0.77	2.73	1.16	4.23	4.27	0.27	2.21
ENSG00000258017	9.1	7.52	8.78	8.53	9.07	8.35	7.83	8.29	7.92	7.96	6.59	8.66	6.73	7.45	8.11	8.25	7.62	8.36	7.44	8.59	8.94	9.17	7.06	7.56	4.81	7.82	7.38	0	7.52	8.25	7.88	4.92	8.06	7.32	1.92	9.09	0.66	6.59	0	8.24	4.47	6.18	5.18	6.58	8.57	8.35	5.71	5.89	0	6.39	7.04	8.72
ENSG00000182492	0.08	0.14	0.65	0.87	1.37	2.87	0.97	0.14	3.23	0.11	0.34	2.57	3.45	4.65	2.32	10.08	0.2	5.52	6.77	1.01	1.01	0.2	2.75	0	3.41	3.25	8.52	0	0.3	0.14	0.23	0.8	0.3	2.24	0.19	0.62	3.08	2.89	5.37	0.4	0.9	7.49	2.2	4.3	0	0.08	0.59	4.24	3.16	0.69	0	0.24
ENSG00000081277	5.35	8.12	1.51	1.18	1.69	0	0.16	3.26	3.28	0.04	0.11	3.53	3.48	5.88	6.11	0.18	0.16	0.04	3.97	5.64	4.85	0	5.01	0.19	0.24	5.31	0	0	4.93	1.15	0.38	8.02	2.27	0	0.95	0.1	2.21	0.21	4.52	1.58	0.2	5.85	3.78	0.44	0.1	0.2	0.46	1.94	0	0.19	0.01	0
ENSG00000183696	7.45	5.51	8.79	8.89	8.88	1.58	4.7	2.5	3.09	4.8	1.58	3.04	3.67	2.84	6.79	5.26	0.14	2.99	7.62	7.04	6.81	7.41	2.8	5.37	6.04	5.18	5.31	6.46	3.55	6.49	8.68	8.07	1.76	3.58	2.99	5.51	1.5	0.25	4.82	3.27	7.64	5.36	7.49	7.12	6.59	3.24	3.98	4.4	6.27	2.63	1.39	1.35
